project,session,job_type,log_file,input_size_bytes,input_size_human,peak_memory_mb,elapsed_seconds,workers
MaalstroomicFlow,2025-07-13-18-28-09-495709,runtime,1_log.npz,2065,2.0K,269.5,1.06,30
MaalstroomicFlow,2025-07-13-18-28-09-495709,face_camera,51_log.npz,22036067,21.0M,8147.6,8.21,30
MaalstroomicFlow,2025-07-13-18-28-09-495709,body_camera,62_log.npz,10957754,10.5M,7522.5,4.01,30
MaalstroomicFlow,2025-07-13-18-28-09-495709,actor_mc,101_log.npz,190055,185.6K,223.5,1.01,30
MaalstroomicFlow,2025-07-13-18-28-09-495709,sensor_mc,152_log.npz,3834576,3.7M,7228.1,2.76,30
MaalstroomicFlow,2025-07-13-18-28-09-495709,encoder_mc,203_log.npz,3551,3.5K,222.4,1.06,30
StateSpaceOdyssey,2025-08-28-18-58-02-766013,runtime,1_log.npz,25815,25.2K,222.9,1.06,30
StateSpaceOdyssey,2025-08-28-18-58-02-766013,face_camera,51_log.npz,50682614,48.3M,10409.2,34.39,30
StateSpaceOdyssey,2025-08-28-18-58-02-766013,body_camera,62_log.npz,25202351,24.0M,8295.3,9.91,30
StateSpaceOdyssey,2025-08-28-18-58-02-766013,actor_mc,101_log.npz,188887,184.5K,1002.2,2.22,30
StateSpaceOdyssey,2025-08-28-18-58-02-766013,sensor_mc,152_log.npz,20804266,19.8M,8085.9,8.67,30
StateSpaceOdyssey,2025-08-28-18-58-02-766013,encoder_mc,203_log.npz,46717591,44.6M,9890.7,27.21,30
StateSpaceOdyssey,2025-08-22-16-32-29-378081,runtime,1_log.npz,24527,24.0K,223.2,1.01,30
StateSpaceOdyssey,2025-08-22-16-32-29-378081,face_camera,51_log.npz,72935903,69.6M,11725.7,68.65,30
StateSpaceOdyssey,2025-08-22-16-32-29-378081,body_camera,62_log.npz,36267583,34.6M,9049.2,18.21,30
StateSpaceOdyssey,2025-08-22-16-32-29-378081,actor_mc,101_log.npz,367737,359.1K,959.5,2.22,30
StateSpaceOdyssey,2025-08-22-16-32-29-378081,sensor_mc,152_log.npz,28245583,26.9M,8523.0,13.18,30
StateSpaceOdyssey,2025-08-22-16-32-29-378081,encoder_mc,203_log.npz,250914844,239.3M,25037.6,812.27,30
