project,session,job_type,log_file,input_size_bytes,input_size_human,peak_python_mb,peak_process_mb
MaalstroomicFlow,2025-07-13-18-28-09-495709,runtime,1_log.npz,2065,2.0K,0.58,0
MaalstroomicFlow,2025-07-13-18-28-09-495709,face_camera,51_log.npz,22036067,21.0M,49.85,119.8
MaalstroomicFlow,2025-07-13-18-28-09-495709,body_camera,62_log.npz,10957754,10.5M,24.87,0
MaalstroomicFlow,2025-07-13-18-28-09-495709,actor_mc,101_log.npz,190055,185.6K,1.28,0
MaalstroomicFlow,2025-07-13-18-28-09-495709,sensor_mc,152_log.npz,3834576,3.7M,14.06,0
MaalstroomicFlow,2025-07-13-18-28-09-495709,encoder_mc,203_log.npz,3551,3.5K,0.18,0
StateSpaceOdyssey,2025-08-28-18-58-02-766013,runtime,1_log.npz,25815,25.2K,0.24,0
StateSpaceOdyssey,2025-08-28-18-58-02-766013,face_camera,51_log.npz,50682614,48.3M,126.92,171.68
StateSpaceOdyssey,2025-08-28-18-58-02-766013,body_camera,62_log.npz,25202351,24.0M,55.91,0
StateSpaceOdyssey,2025-08-28-18-58-02-766013,actor_mc,101_log.npz,188887,184.5K,1.27,0
StateSpaceOdyssey,2025-08-28-18-58-02-766013,sensor_mc,152_log.npz,20804266,19.8M,63.63,0
StateSpaceOdyssey,2025-08-28-18-58-02-766013,encoder_mc,203_log.npz,46717591,44.6M,133.99,32.97
StateSpaceOdyssey,2025-08-22-16-32-29-378081,runtime,1_log.npz,24527,24.0K,0.28,0
StateSpaceOdyssey,2025-08-22-16-32-29-378081,face_camera,51_log.npz,72935903,69.6M,169.64,47.16
StateSpaceOdyssey,2025-08-22-16-32-29-378081,body_camera,62_log.npz,36267583,34.6M,84.48,0
StateSpaceOdyssey,2025-08-22-16-32-29-378081,actor_mc,101_log.npz,367737,359.1K,2.32,0
StateSpaceOdyssey,2025-08-22-16-32-29-378081,sensor_mc,152_log.npz,28245583,26.9M,88.95,0
StateSpaceOdyssey,2025-08-22-16-32-29-378081,encoder_mc,203_log.npz,250914844,239.3M,732.26,1448.55
